iter	Passed	Remaining
727	9793	10385
728	9806	10371
729	9818	10356
730	9832	10343
731	9844	10328
732	9856	10314
733	9868	10298
734	9879	10283
735	9892	10268
736	9903	10252
737	9913	10235
738	9925	10221
739	9939	10208
740	9950	10192
741	9961	10176
742	9973	10161
743	9986	10147
744	9999	10133
745	10011	10118
746	10023	10103
747	10057	10111
748	10071	10098
749	10082	10082
750	10093	10066
751	10104	10050
752	10115	10034
753	10127	10020
754	10140	10006
755	10153	9992
756	10165	9977
757	10179	9964
758	10195	9953
759	10208	9939
760	10222	9927
761	10233	9911
762	10248	9899
763	10261	9885
764	10275	9872
765	10290	9860
766	10304	9848
767	10321	9837
768	10337	9826
769	10356	9818
770	10371	9806
771	10384	9793
772	10398	9780
773	10413	9767
774	10427	9755
775	10442	9742
776	10454	9727
777	10463	9710
778	10477	9697
779	10489	9682
780	10501	9667
781	10514	9653
782	10526	9639
783	10536	9622
784	10547	9606
785	10556	9589
786	10568	9574
787	10581	9560
788	10594	9546
789	10606	9532
790	10619	9518
791	10631	9503
792	10645	9490
793	10657	9476
794	10668	9461
795	10683	9448
796	10695	9434
797	10707	9418
798	10718	9403
799	10730	9388
800	10740	9372
801	10753	9359
802	10769	9347
803	10783	9334
804	10795	9320
805	10806	9304
806	10819	9290
807	10832	9277
808	10845	9263
809	10860	9251
810	10874	9238
811	10889	9226
812	10900	9210
813	10912	9196
814	10924	9182
815	10933	9164
816	10945	9150
817	10959	9137
818	10972	9123
819	10986	9110
820	10997	9095
821	11007	9079
822	11019	9064
823	11032	9050
824	11043	9035
825	11082	9042
826	11093	9027
827	11104	9012
828	11115	8997
829	11125	8980
830	11136	8965
831	11145	8948
832	11157	8934
833	11168	8918
834	11181	8905
835	11194	8891
836	11208	8878
837	11220	8864
838	11233	8850
839	11247	8837
840	11261	8824
841	11274	8810
842	11290	8799
843	11332	8808
844	11356	8802
845	11371	8790
846	11393	8783
847	11406	8769
848	11420	8757
849	11434	8744
850	11447	8730
851	11459	8716
852	11473	8702
853	11489	8690
854	11504	8678
855	11519	8666
856	11533	8653
857	11549	8641
858	11562	8628
859	11573	8613
860	11588	8600
861	11603	8588
862	11616	8574
863	11630	8561
864	11643	8547
865	11656	8533
866	11669	8519
867	11682	8506
868	11697	8493
869	11709	8479
870	11725	8467
871	11741	8455
872	11756	8443
873	11770	8430
874	11785	8418
875	11799	8404
876	11811	8390
877	11826	8378
878	11839	8364
879	11853	8351
880	11868	8338
881	11883	8326
882	11896	8312
883	11908	8298
884	11921	8284
885	11934	8270
886	11947	8256
887	11960	8243
888	11971	8227
889	11982	8212
890	11994	8198
891	12007	8184
892	12019	8170
893	12031	8155
894	12046	8143
895	12061	8130
896	12100	8134
897	12115	8121
898	12129	8109
899	12146	8097
900	12160	8084
901	12174	8071
902	12185	8055
903	12197	8041
904	12206	8025
905	12216	8009
906	12225	7992
907	12236	7978
908	12246	7962
909	12257	7947
910	12269	7932
911	12281	7918
912	12292	7903
913	12305	7889
914	12317	7875
915	12329	7860
916	12341	7846
917	12353	7831
918	12363	7816
919	12373	7800
920	12383	7785
921	12394	7769
922	12404	7754
923	12414	7739
924	12424	7723
925	12436	7708
926	12447	7694
927	12459	7679
928	12471	7665
929	12484	7652
930	12497	7637
931	12508	7623
932	12521	7609
933	12533	7595
934	12545	7581
935	12560	7568
936	12573	7554
937	12584	7539
938	12595	7525
939	12609	7511
940	12620	7497
941	12632	7482
942	12641	7467
943	12651	7451
944	12662	7436
945	12671	7420
946	12684	7407
947	12696	7392
948	12707	7378
949	12720	7364
950	12733	7350
951	12744	7336
952	12757	7322
953	12769	7308
954	12782	7294
955	12792	7279
956	12802	7264
957	12811	7248
958	12820	7232
959	12832	7218
960	12842	7203
961	12852	7188
962	12863	7172
963	12874	7158
964	12886	7144
965	12897	7129
966	12909	7115
967	12921	7101
968	12933	7087
969	12944	7072
970	12955	7058
971	12968	7044
972	12983	7032
973	12993	7017
974	13004	7002
975	13015	6987
976	13024	6972
977	13035	6957
978	13045	6942
979	13055	6927
980	13066	6912
981	13078	6898
982	13143	6912
983	13156	6899
984	13167	6884
985	13179	6870
986	13195	6858
987	13209	6845
988	13221	6831
989	13235	6818
990	13247	6804
991	13259	6790
992	13275	6777
993	13287	6764
994	13301	6751
995	13314	6737
996	13326	6723
997	13339	6709
998	13354	6697
999	13369	6684
1000	13383	6671
1001	13396	6658
1002	13411	6645
1003	13425	6632
1004	13438	6618
1005	13454	6606
1006	13474	6596
1007	13490	6584
1008	13505	6571
1009	13519	6558
